Quarter,CPI
Mar-95,65.8
Jun-95,64.8
Sep-95,68.7
Dec-95,63.9
Mar-96,67.8
Jun-96,67.3
Sep-96,70.4
Dec-96,66.1
Mar-97,68.5
Jun-97,67.1
Sep-97,70.6
Dec-97,68
Mar-98,68.3
Jun-98,66.8
Sep-98,68.6
Dec-98,60.6
Mar-99,67.1
Jun-99,67.2
Sep-99,69.9
Dec-99,65.6
Mar-00,66.8
Jun-00,71.9
Sep-00,72
Dec-00,73.3
Mar-01,77
Jun-01,73.5
Sep-01,78.5
Dec-01,72.5
Mar-02,77.5
Jun-02,78.3
Sep-02,79.9
Dec-02,77.3
Mar-03,79.2
Jun-03,79.7
Sep-03,80.8
Dec-03,77.2
Mar-04,81.4
Jun-04,80.1
Sep-04,81.6
Dec-04,80.3
Mar-05,81.1
Jun-05,82.5
Sep-05,84.6
Dec-05,81.7
Mar-06,86.4
Jun-06,80.7
Sep-06,89.5
Dec-06,83.8
Mar-07,85.2
Jun-07,85.4
Sep-07,87.2
Dec-07,89
Mar-08,91.6
Jun-08,92
Sep-08,94.4
Dec-08,90.1
Mar-09,96.3
Jun-09,91.6
Sep-09,93.6
Dec-09,91.9
Mar-10,97.6
Jun-10,96
Sep-10,94.4
Dec-10,99.2
Mar-11,100.4
Jun-11,99.7
Sep-11,102.4
Dec-11,100.1
Mar-12,99.7
Jun-12,103.9
Sep-12,102.1
Dec-12,101.4
Mar-13,104.3
Jun-13,105.3
Sep-13,105
Dec-13,103.6
Mar-14,105.1
Jun-14,99.9
Sep-14,105.3
Dec-14,110.1
Mar-15,110.1
Jun-15,106.5
Sep-15,111.5
Dec-15,107.3
Mar-16,108.2
Jun-16,108.1
Sep-16,109.8
Dec-16,110.2
Mar-17,108.5
Jun-17,109.2
Sep-17,113.5
Dec-17,112.4
Mar-18,115.5
Jun-18,110.4
Sep-18,115
Dec-18,111.4
Mar-19,116.8
Jun-19,112
Sep-19,115.8
Dec-19,117.5
Mar-20,114.3
Jun-20,114.3
Sep-20,117.6
Dec-20,113.2
Mar-21,116.6
Jun-21,117.2
Sep-21,123.6
Dec-21,120.3
Mar-22,122.4
Jun-22,126.8
Sep-22,131.3
Dec-22,129
