date,cpi_index
1995-01-01,44.34
1995-04-01,44.92
1995-07-01,45.46
1995-10-01,45.81
1996-01-01,46.0
1996-04-01,46.31
1996-07-01,46.43
1996-10-01,46.51
1997-01-01,46.58
1997-04-01,46.47
1997-07-01,46.28
1997-10-01,46.39
1998-01-01,46.51
1998-04-01,46.78
1998-07-01,46.91
1998-10-01,47.11
1999-01-01,47.08
1999-04-01,47.29
1999-07-01,47.72
1999-10-01,47.97
2000-01-01,48.4
2000-04-01,48.77
2000-07-01,50.59
2000-10-01,50.76
2001-01-01,51.3
2001-04-01,51.73
2001-07-01,51.87
2001-10-01,52.35
2002-01-01,52.82
2002-04-01,53.2
2002-07-01,53.56
2002-10-01,53.92
2003-01-01,54.62
2003-04-01,54.62
2003-07-01,54.93
2003-10-01,55.22
2004-01-01,55.71
2004-04-01,55.97
2004-07-01,56.2
2004-10-01,56.63
2005-01-01,57.01
2005-04-01,57.35
2005-07-01,57.92
2005-10-01,58.22
2006-01-01,58.72
2006-04-01,59.65
2006-07-01,60.18
2006-10-01,60.11
2007-01-01,60.16
2007-04-01,60.9
2007-07-01,61.32
2007-10-01,61.89
2008-01-01,62.72
2008-04-01,63.63
2008-07-01,64.37
2008-10-01,64.16
2009-01-01,64.23
2009-04-01,64.55
2009-07-01,65.16
2009-10-01,65.51
2010-01-01,66.12
2010-04-01,66.52
2010-07-01,67.0
2010-10-01,67.26
2011-01-01,68.3
2011-04-01,68.93
2011-07-01,69.34
2011-10-01,69.34
2012-01-01,69.38
2012-04-01,69.74
2012-07-01,70.69
2012-10-01,70.87
2013-01-01,71.11
2013-04-01,71.38
2013-07-01,72.25
2013-10-01,72.77
2014-01-01,73.2
2014-04-01,73.57
2014-07-01,73.88
2014-10-01,74.02
2015-01-01,74.16
2015-04-01,74.69
2015-07-01,74.98
2015-10-01,75.27
2016-01-01,75.12
2016-04-01,75.45
2016-07-01,75.98
2016-10-01,76.38
2017-01-01,76.73
2017-04-01,76.88
2017-07-01,77.35
2017-10-01,77.87
2018-01-01,78.21
2018-04-01,78.49
2018-07-01,78.83
2018-10-01,79.24
2019-01-01,79.23
2019-04-01,79.7
2019-07-01,80.15
2019-10-01,80.7
2020-01-01,81.0
2020-04-01,79.44
2020-07-01,80.67
2020-10-01,81.4
2021-01-01,81.87
2021-04-01,82.47
2021-07-01,83.17
2021-10-01,84.23
2022-01-01,86.05
2022-04-01,87.59
2022-07-01,89.2
2022-10-01,90.85
2023-01-01,92.08
2023-04-01,92.87
2023-07-01,93.94
2023-10-01,94.53
2024-01-01,95.41
2024-04-01,96.41
2024-07-01,96.62
2024-10-01,96.81
2025-01-01,97.7
2025-04-01,98.43
2025-07-01,99.73
2025-10-01,100.32
