date,household_spending
2012-07-01,43705.2
2012-08-01,44242.8
2012-09-01,44168.7
2012-10-01,44138.4
2012-11-01,43978.0
2012-12-01,44306.2
2013-01-01,44651.0
2013-02-01,44949.3
2013-03-01,44715.6
2013-04-01,44765.7
2013-05-01,45111.2
2013-06-01,44974.4
2013-07-01,45301.6
2013-08-01,45573.3
2013-09-01,45539.9
2013-10-01,45286.5
2013-11-01,45767.7
2013-12-01,46306.1
2014-01-01,46404.3
2014-02-01,46275.6
2014-03-01,46779.6
2014-04-01,46797.1
2014-05-01,46767.5
2014-06-01,46753.4
2014-07-01,47340.4
2014-08-01,46933.7
2014-09-01,47388.5
2014-10-01,47590.5
2014-11-01,47489.1
2014-12-01,47425.4
2015-01-01,47382.8
2015-02-01,48279.8
2015-03-01,48352.0
2015-04-01,48317.7
2015-05-01,48349.9
2015-06-01,48923.7
2015-07-01,49179.8
2015-08-01,49133.7
2015-09-01,49238.1
2015-10-01,49707.5
2015-11-01,49255.3
2015-12-01,49191.0
2016-01-01,49388.1
2016-02-01,49454.9
2016-03-01,49608.6
2016-04-01,50293.7
2016-05-01,50328.1
2016-06-01,50686.1
2016-07-01,50368.4
2016-08-01,50682.9
2016-09-01,50571.8
2016-10-01,50874.8
2016-11-01,50868.1
2016-12-01,51417.5
2017-01-01,51563.7
2017-02-01,51492.1
2017-03-01,51441.5
2017-04-01,51712.6
2017-05-01,52035.4
2017-06-01,52131.1
2017-07-01,52008.6
2017-08-01,51894.5
2017-09-01,52286.3
2017-10-01,52628.8
2017-11-01,53412.6
2017-12-01,53582.0
2018-01-01,53203.9
2018-02-01,54154.6
2018-03-01,53609.4
2018-04-01,54159.5
2018-05-01,54865.8
2018-06-01,55498.8
2018-07-01,54918.4
2018-08-01,55204.5
2018-09-01,55263.7
2018-10-01,55573.8
2018-11-01,55937.2
2018-12-01,55862.5
2019-01-01,55753.9
2019-02-01,55253.7
2019-03-01,55628.5
2019-04-01,54710.4
2019-05-01,55035.3
2019-06-01,54819.7
2019-07-01,55023.5
2019-08-01,55188.1
2019-09-01,54872.9
2019-10-01,55052.9
2019-11-01,54601.9
2019-12-01,55317.9
2020-01-01,55411.7
2020-02-01,53897.9
2020-03-01,52289.4
2020-04-01,41840.1
2020-05-01,49186.6
2020-06-01,52508.0
2020-07-01,54943.0
2020-08-01,51770.0
2020-09-01,51735.9
2020-10-01,52757.2
2020-11-01,54497.1
2020-12-01,54901.4
2021-01-01,54354.7
2021-02-01,53689.6
2021-03-01,54929.8
2021-04-01,55433.0
2021-05-01,55530.3
2021-06-01,54494.0
2021-07-01,52825.1
2021-08-01,51559.3
2021-09-01,53039.4
2021-10-01,56279.8
2021-11-01,58895.7
2021-12-01,59515.9
2022-01-01,59239.6
2022-02-01,61863.9
2022-03-01,63025.1
2022-04-01,64551.5
2022-05-01,65383.6
2022-06-01,66088.5
2022-07-01,67465.5
2022-08-01,67622.6
2022-09-01,68562.9
2022-10-01,69638.3
2022-11-01,69261.3
2022-12-01,69422.6
2023-01-01,70426.1
2023-02-01,70565.3
2023-03-01,70419.2
2023-04-01,71149.7
2023-05-01,71146.1
2023-06-01,71144.9
2023-07-01,71337.7
2023-08-01,71799.5
2023-09-01,72924.0
2023-10-01,72095.5
2023-11-01,72554.8
2023-12-01,72113.6
2024-01-01,73306.9
2024-02-01,73013.4
2024-03-01,72709.2
2024-04-01,73027.2
2024-05-01,73213.6
2024-06-01,73150.6
2024-07-01,73141.4
2024-08-01,73568.1
2024-09-01,73558.0
2024-10-01,74220.2
2024-11-01,74667.0
2024-12-01,74987.0
2025-01-01,75506.2
2025-02-01,75591.8
2025-03-01,75670.9
2025-04-01,75789.2
2025-05-01,76454.6
2025-06-01,76717.1
2025-07-01,77127.5
2025-08-01,77019.1
2025-09-01,77240.4
2025-10-01,78337.2
2025-11-01,79035.6
2025-12-01,78694.6
