date,producer_price_index
1998-07-01,71.3
1998-10-01,70.9
1999-01-01,70.7
1999-04-01,70.9
1999-07-01,71.5
1999-10-01,72.1
2000-01-01,73.1
2000-04-01,74.4
2000-07-01,74.8
2000-10-01,75.9
2001-01-01,75.8
2001-04-01,77.0
2001-07-01,76.8
2001-10-01,77.2
2002-01-01,77.3
2002-04-01,77.5
2002-07-01,77.8
2002-10-01,78.2
2003-01-01,78.8
2003-04-01,78.5
2003-07-01,79.0
2003-10-01,79.0
2004-01-01,79.5
2004-04-01,80.4
2004-07-01,81.5
2004-10-01,82.4
2005-01-01,82.4
2005-04-01,83.1
2005-07-01,84.3
2005-10-01,84.9
2006-01-01,85.5
2006-04-01,86.8
2006-07-01,87.7
2006-10-01,87.9
2007-01-01,87.9
2007-04-01,88.8
2007-07-01,89.8
2007-10-01,90.4
2008-01-01,92.1
2008-04-01,93.0
2008-07-01,94.8
2008-10-01,96.1
2009-01-01,95.8
2009-04-01,95.0
2009-07-01,95.1
2009-10-01,94.7
2010-01-01,95.6
2010-04-01,95.9
2010-07-01,97.2
2010-10-01,97.3
2011-01-01,98.4
2011-04-01,99.2
2011-07-01,99.8
2011-10-01,100.1
2012-01-01,99.8
2012-04-01,100.3
2012-07-01,100.9
2012-10-01,101.1
2013-01-01,101.4
2013-04-01,101.5
2013-07-01,102.8
2013-10-01,103.0
2014-01-01,103.9
2014-04-01,103.8
2014-07-01,104.0
2014-10-01,104.1
2015-01-01,104.6
2015-04-01,104.9
2015-07-01,105.8
2015-10-01,106.1
2016-01-01,105.9
2016-04-01,106.0
2016-07-01,106.3
2016-10-01,106.8
2017-01-01,107.3
2017-04-01,107.8
2017-07-01,108.0
2017-10-01,108.6
2018-01-01,109.1
2018-04-01,109.4
2018-07-01,110.3
2018-10-01,110.8
2019-01-01,111.2
2019-04-01,111.6
2019-07-01,112.1
2019-10-01,112.4
2020-01-01,112.6
2020-04-01,111.2
2020-07-01,111.7
2020-10-01,112.3
2021-01-01,112.8
2021-04-01,113.6
2021-07-01,114.9
2021-10-01,116.4
2022-01-01,118.3
2022-04-01,120.0
2022-07-01,122.3
2022-10-01,123.2
2023-01-01,124.1
2023-04-01,124.7
2023-07-01,127.0
2023-10-01,128.2
2024-01-01,129.4
2024-04-01,130.7
2024-07-01,132.0
2024-10-01,133.0
2025-01-01,134.2
2025-04-01,135.2
2025-07-01,136.6
2025-10-01,137.7
