date,unemployment_rate
1995-01-01,8.855226
1995-02-01,8.8234646
1995-03-01,8.6173371
1995-04-01,8.2674494
1995-05-01,8.4749023
1995-06-01,8.3524125
1995-07-01,8.4280649
1995-08-01,8.320184
1995-09-01,8.3632126
1995-10-01,8.5751372
1995-11-01,8.4523586
1995-12-01,8.1450505
1996-01-01,8.4516918
1996-02-01,8.3271129
1996-03-01,8.4213087
1996-04-01,8.578394
1996-05-01,8.4145618
1996-06-01,8.2543575
1996-07-01,8.5686052
1996-08-01,8.7222356
1996-09-01,8.5767192
1996-10-01,8.7595373
1996-11-01,8.4710657
1996-12-01,8.6309454
1997-01-01,8.5683357
1997-02-01,8.7030741
1997-03-01,8.5925378
1997-04-01,8.5684792
1997-05-01,8.5477225
1997-06-01,8.3311712
1997-07-01,8.5898022
1997-08-01,8.4652872
1997-09-01,8.0681628
1997-10-01,8.0332921
1997-11-01,7.9873365
1997-12-01,7.9107307
1998-01-01,7.8662106
1998-02-01,7.7727533
1998-03-01,7.8837067
1998-04-01,7.6039267
1998-05-01,7.7651656
1998-06-01,7.8323392
1998-07-01,7.9750317
1998-08-01,7.755557
1998-09-01,7.6340257
1998-10-01,7.3138059
1998-11-01,7.6263861
1998-12-01,7.1840092
1999-01-01,7.1189215
1999-02-01,7.1154125
1999-03-01,7.0129011
1999-04-01,6.9796794
1999-05-01,7.0252436
1999-06-01,6.6533227
1999-07-01,6.6755411
1999-08-01,6.9059891
1999-09-01,7.0414997
1999-10-01,6.7765274
1999-11-01,6.4404729
1999-12-01,6.6847391
2000-01-01,6.766869
2000-02-01,6.6192662
2000-03-01,6.5652471
2000-04-01,6.3764747
2000-05-01,6.4146124
2000-06-01,6.1150251
2000-07-01,5.9543149
2000-08-01,6.051548
2000-09-01,5.9632173
2000-10-01,6.0099462
2000-11-01,6.262144
2000-12-01,6.2441274
2001-01-01,6.1377298
2001-02-01,6.502012
2001-03-01,6.4588877
2001-04-01,6.7824858
2001-05-01,6.8931145
2001-06-01,6.9328972
2001-07-01,6.8801347
2001-08-01,6.88111
2001-09-01,6.8419459
2001-10-01,7.1936648
2001-11-01,6.8830791
2001-12-01,6.8615385
2002-01-01,6.9156417
2002-02-01,6.5364923
2002-03-01,6.4304075
2002-04-01,6.3455505
2002-05-01,6.3726216
2002-06-01,6.4958857
2002-07-01,6.1799023
2002-08-01,6.3491207
2002-09-01,6.3122568
2002-10-01,6.1283509
2002-11-01,6.1627384
2002-12-01,6.1822577
2003-01-01,6.082439
2003-02-01,5.9549906
2003-03-01,6.1312952
2003-04-01,6.0295834
2003-05-01,6.0691861
2003-06-01,6.0547416
2003-07-01,6.1281013
2003-08-01,5.8178304
2003-09-01,5.7755165
2003-10-01,5.7835264
2003-11-01,5.6617993
2003-12-01,5.6814246
2004-01-01,5.5315121
2004-02-01,5.6430269
2004-03-01,5.4374771
2004-04-01,5.5071643
2004-05-01,5.3368926
2004-06-01,5.4632761
2004-07-01,5.5506572
2004-08-01,5.5171114
2004-09-01,5.3706583
2004-10-01,5.122713
2004-11-01,5.1612098
2004-12-01,5.0686219
2005-01-01,5.073324
2005-02-01,5.084188
2005-03-01,5.1627348
2005-04-01,5.1219736
2005-05-01,5.0994883
2005-06-01,4.9500249
2005-07-01,4.9721177
2005-08-01,4.9013657
2005-09-01,5.0022106
2005-10-01,5.015718
2005-11-01,4.9381699
2005-12-01,5.0698898
2006-01-01,5.1620615
2006-02-01,5.1035114
2006-03-01,4.8671009
2006-04-01,4.9655921
2006-05-01,4.7982802
2006-06-01,4.8081514
2006-07-01,4.656833
2006-08-01,4.7121477
2006-09-01,4.6660044
2006-10-01,4.4631862
2006-11-01,4.5150753
2006-12-01,4.5680814
2007-01-01,4.5534916
2007-02-01,4.6344287
2007-03-01,4.4597105
2007-04-01,4.3860721
2007-05-01,4.2645599
2007-06-01,4.3241228
2007-07-01,4.2533157
2007-08-01,4.2989569
2007-09-01,4.2133042
2007-10-01,4.3261855
2007-11-01,4.4268057
2007-12-01,4.3083801
2008-01-01,4.2224533
2008-02-01,3.9790068
2008-03-01,4.05713
2008-04-01,4.2656031
2008-05-01,4.2664825
2008-06-01,4.2435296
2008-07-01,4.2503746
2008-08-01,4.0153272
2008-09-01,4.2891663
2008-10-01,4.2901063
2008-11-01,4.4628984
2008-12-01,4.5700088
2009-01-01,4.9081275
2009-02-01,5.3025446
2009-03-01,5.7113113
2009-04-01,5.5133025
2009-05-01,5.8121801
2009-06-01,5.8615331
2009-07-01,5.6727967
2009-08-01,5.7147547
2009-09-01,5.6618921
2009-10-01,5.6236682
2009-11-01,5.5586182
2009-12-01,5.4911289
2010-01-01,5.2661354
2010-02-01,5.298171
2010-03-01,5.4225878
2010-04-01,5.498898
2010-05-01,5.2297103
2010-06-01,5.1441277
2010-07-01,5.2881622
2010-08-01,5.0321001
2010-09-01,5.0542904
2010-10-01,5.2848221
2010-11-01,5.1091742
2010-12-01,4.8768861
2011-01-01,5.0034146
2011-02-01,4.9718308
2011-03-01,4.9264461
2011-04-01,4.9596918
2011-05-01,5.0132697
2011-06-01,4.9165966
2011-07-01,5.0928444
2011-08-01,5.2699381
2011-09-01,5.2217036
2011-10-01,5.1877066
2011-11-01,5.231202
2011-12-01,5.1968413
2012-01-01,5.0479176
2012-02-01,5.1916616
2012-03-01,5.1831684
2012-04-01,4.9948931
2012-05-01,5.2004095
2012-06-01,5.1623453
2012-07-01,5.1823206
2012-08-01,5.1568972
2012-09-01,5.4883299
2012-10-01,5.410429
2012-11-01,5.2568736
2012-12-01,5.432419
2013-01-01,5.3895696
2013-02-01,5.3942656
2013-03-01,5.6404023
2013-04-01,5.589039
2013-05-01,5.6096923
2013-06-01,5.6948211
2013-07-01,5.6357291
2013-08-01,5.8434861
2013-09-01,5.7064821
2013-10-01,5.823109
2013-11-01,5.7964227
2013-12-01,5.9007615
2014-01-01,5.9471185
2014-02-01,5.8763431
2014-03-01,5.8750862
2014-04-01,5.8045405
2014-05-01,5.9298591
2014-06-01,6.048212
2014-07-01,6.1719484
2014-08-01,6.1006
2014-09-01,6.2369083
2014-10-01,6.3574494
2014-11-01,6.2969815
2014-12-01,6.1059907
2015-01-01,6.3517065
2015-02-01,6.1534393
2015-03-01,6.1032857
2015-04-01,6.1124615
2015-05-01,5.930874
2015-06-01,6.0073726
2015-07-01,6.2744531
2015-08-01,6.0874419
2015-09-01,6.1743959
2015-10-01,5.9124787
2015-11-01,5.8505807
2015-12-01,5.7410701
2016-01-01,6.0412668
2016-02-01,5.6944879
2016-03-01,5.6533355
2016-04-01,5.6452025
2016-05-01,5.7214072
2016-06-01,5.6949578
2016-07-01,5.6935558
2016-08-01,5.6150796
2016-09-01,5.6650763
2016-10-01,5.5972495
2016-11-01,5.7673703
2016-12-01,5.8364934
2017-01-01,5.6838697
2017-02-01,5.8933424
2017-03-01,5.8457463
2017-04-01,5.6086497
2017-05-01,5.5468256
2017-06-01,5.6224716
2017-07-01,5.6056425
2017-08-01,5.5298313
2017-09-01,5.4639216
2017-10-01,5.4042026
2017-11-01,5.4543832
2017-12-01,5.6166787
2018-01-01,5.5242204
2018-02-01,5.581643
2018-03-01,5.5301044
2018-04-01,5.5441053
2018-05-01,5.4355346
2018-06-01,5.341531
2018-07-01,5.2947148
2018-08-01,5.2438151
2018-09-01,5.0199154
2018-10-01,5.0024041
2018-11-01,5.1091307
2018-12-01,5.0177414
2019-01-01,5.049475
2019-02-01,4.9927445
2019-03-01,5.0885642
2019-04-01,5.2183059
2019-05-01,5.1956542
2019-06-01,5.2588971
2019-07-01,5.27564
2019-08-01,5.2578534
2019-09-01,5.2291371
2019-10-01,5.3033487
2019-11-01,5.1727906
2019-12-01,5.039032
2020-01-01,5.2488047
2020-02-01,5.1129664
2020-03-01,5.1977728
2020-04-01,6.3000396
2020-05-01,6.9901678
2020-06-01,7.4211888
2020-07-01,7.4355485
2020-08-01,6.7940323
2020-09-01,6.9285402
2020-10-01,6.9501364
2020-11-01,6.8117349
2020-12-01,6.5588376
2021-01-01,6.27618
2021-02-01,5.8471958
2021-03-01,5.6726923
2021-04-01,5.4638603
2021-05-01,5.1115732
2021-06-01,5.0206784
2021-07-01,4.7231231
2021-08-01,4.5738579
2021-09-01,4.7062648
2021-10-01,5.2375077
2021-11-01,4.634118
2021-12-01,4.2091494
2022-01-01,4.1658528
2022-02-01,4.0312021
2022-03-01,3.982495
2022-04-01,3.8507828
2022-05-01,3.9397202
2022-06-01,3.6018694
2022-07-01,3.4477906
2022-08-01,3.5276056
2022-09-01,3.603002
2022-10-01,3.4371031
2022-11-01,3.5169992
2022-12-01,3.5255267
2023-01-01,3.6608092
2023-02-01,3.6097116
2023-03-01,3.5940567
2023-04-01,3.7026068
2023-05-01,3.586556
2023-06-01,3.5151971
2023-07-01,3.7150386
2023-08-01,3.6803952
2023-09-01,3.5642125
2023-10-01,3.7801965
2023-11-01,3.9328579
2023-12-01,3.985756
2024-01-01,4.0908306
2024-02-01,3.7392353
2024-03-01,3.8962398
2024-04-01,4.0801856
2024-05-01,3.9998661
2024-06-01,4.0296561
2024-07-01,4.1985055
2024-08-01,4.1281505
2024-09-01,4.0227871
2024-10-01,4.0927247
2024-11-01,3.9369707
2024-12-01,3.9972501
2025-01-01,4.1250222
2025-02-01,4.0715095
2025-03-01,4.0778075
2025-04-01,4.053699
2025-05-01,4.0940002
2025-06-01,4.3122664
2025-07-01,4.2456784
2025-08-01,4.2480821
2025-09-01,4.4518465
2025-10-01,4.3331079
2025-11-01,4.3226083
2025-12-01,4.116373
