date,wage_price_index
1997-07-01,66.7
1997-10-01,67.3
1998-01-01,67.8
1998-04-01,68.2
1998-07-01,68.9
1998-10-01,69.3
1999-01-01,70.0
1999-04-01,70.3
1999-07-01,71.0
1999-10-01,71.4
2000-01-01,71.9
2000-04-01,72.3
2000-07-01,73.2
2000-10-01,73.8
2001-01-01,74.6
2001-04-01,75.0
2001-07-01,75.8
2001-10-01,76.4
2002-01-01,76.9
2002-04-01,77.4
2002-07-01,78.3
2002-10-01,78.9
2003-01-01,79.7
2003-04-01,80.1
2003-07-01,81.1
2003-10-01,81.9
2004-01-01,82.5
2004-04-01,82.9
2004-07-01,84.0
2004-10-01,84.8
2005-01-01,85.7
2005-04-01,86.3
2005-07-01,87.5
2005-10-01,88.3
2006-01-01,89.2
2006-04-01,89.9
2006-07-01,90.9
2006-10-01,91.8
2007-01-01,92.8
2007-04-01,93.5
2007-07-01,94.8
2007-10-01,95.7
2008-01-01,96.6
2008-04-01,97.5
2008-07-01,98.6
2008-10-01,99.8
2009-01-01,100.5
2009-04-01,101.1
2009-07-01,102.0
2009-10-01,102.7
2010-01-01,103.6
2010-04-01,104.2
2010-07-01,105.7
2010-10-01,106.6
2011-01-01,107.6
2011-04-01,108.2
2011-07-01,109.5
2011-10-01,110.5
2012-01-01,111.4
2012-04-01,112.2
2012-07-01,113.5
2012-10-01,114.3
2013-01-01,115.0
2013-04-01,115.5
2013-07-01,116.6
2013-10-01,117.2
2014-01-01,118.0
2014-04-01,118.5
2014-07-01,119.5
2014-10-01,120.2
2015-01-01,120.7
2015-04-01,121.2
2015-07-01,122.2
2015-10-01,122.7
2016-01-01,123.2
2016-04-01,123.7
2016-07-01,124.6
2016-10-01,125.1
2017-01-01,125.6
2017-04-01,126.1
2017-07-01,127.1
2017-10-01,127.7
2018-01-01,128.2
2018-04-01,128.7
2018-07-01,130.0
2018-10-01,130.6
2019-01-01,131.2
2019-04-01,131.8
2019-07-01,132.9
2019-10-01,133.5
2020-01-01,134.1
2020-04-01,134.1
2020-07-01,134.7
2020-10-01,135.4
2021-01-01,136.1
2021-04-01,136.5
2021-07-01,137.7
2021-10-01,138.5
2022-01-01,139.3
2022-04-01,140.1
2022-07-01,142.1
2022-10-01,143.2
2023-01-01,144.3
2023-04-01,145.2
2023-07-01,147.9
2023-10-01,149.3
2024-01-01,150.2
2024-04-01,151.1
2024-07-01,153.1
2024-10-01,154.1
2025-01-01,155.3
2025-04-01,156.2
2025-07-01,158.3
2025-10-01,159.4
