date,FXRUSD
2010-01-29,0.8909
2010-02-26,0.8899
2010-03-31,0.9159
2010-04-30,0.93
2010-05-31,0.849
2010-06-30,0.8523
2010-07-30,0.8986
2010-08-31,0.8918
2010-09-30,0.9667
2010-10-29,0.9761
2010-11-30,0.9618
2010-12-31,1.0163
2011-01-31,0.9924
2011-02-28,1.0163
2011-03-31,1.0334
2011-04-29,1.09
2011-05-31,1.0709
2011-06-30,1.0739
2011-07-29,1.0954
2011-08-31,1.0691
2011-09-30,0.9781
2011-10-31,1.0509
2011-11-30,1.0021
2011-12-30,1.0156
2012-01-31,1.0637
2012-02-29,1.0816
2012-03-30,1.0402
2012-04-30,1.0453
2012-05-31,0.9727
2012-06-29,1.0191
2012-07-31,1.0526
2012-08-31,1.0301
2012-09-28,1.0464
2012-10-31,1.0378
2012-11-30,1.0431
2012-12-31,1.0384
2013-01-31,1.0394
2013-02-28,1.0275
2013-03-29,1.0426
2013-04-30,1.0368
2013-05-31,0.9649
2013-06-28,0.9275
2013-07-31,0.9037
2013-08-30,0.8947
2013-09-30,0.9309
2013-10-31,0.949
2013-11-29,0.9087
2013-12-31,0.8948
2014-01-31,0.8763
2014-02-28,0.8947
2014-03-31,0.9221
2014-04-30,0.9287
2014-05-30,0.9319
2014-06-30,0.942
2014-07-31,0.9324
2014-08-29,0.9349
2014-09-30,0.8752
2014-10-31,0.8805
2014-11-28,0.8491
2014-12-31,0.8202
2015-01-30,0.7781
2015-02-27,0.7792
2015-03-31,0.7634
2015-04-30,0.7981
2015-05-29,0.7663
2015-06-30,0.768
2015-07-31,0.7294
2015-08-31,0.7149
2015-09-30,0.701
2015-10-30,0.7099
2015-11-30,0.7189
2015-12-31,0.7306
2016-01-29,0.71
2016-02-29,0.714
2016-03-31,0.7657
2016-04-29,0.7655
2016-05-31,0.7242
2016-06-30,0.7426
2016-07-29,0.7522
2016-08-31,0.7514
2016-09-30,0.763
2016-10-31,0.7613
2016-11-30,0.7474
2016-12-30,0.7236
2017-01-31,0.7567
2017-02-28,0.7688
2017-03-31,0.7644
2017-04-28,0.7475
2017-05-31,0.745
2017-06-30,0.7692
2017-07-31,0.7987
2017-08-31,0.7898
2017-09-29,0.7839
2017-10-31,0.7673
2017-11-30,0.7585
2017-12-29,0.78
2018-01-31,0.8073
2018-02-28,0.7792
2018-03-29,0.7665
2018-04-30,0.757
2018-05-31,0.7564
2018-06-29,0.7391
2018-07-31,0.7431
2018-08-31,0.726
2018-09-28,0.7222
2018-10-31,0.7085
2018-11-30,0.7316
2018-12-31,0.7058
2019-01-31,0.7268
2019-02-28,0.7146
2019-03-29,0.7087
2019-04-30,0.7039
2019-05-31,0.6916
2019-06-28,0.7013
2019-07-31,0.6894
2019-08-30,0.6718
2019-09-30,0.6749
2019-10-31,0.6926
2019-11-29,0.6777
2019-12-31,0.7006
2020-01-31,0.6724
2020-02-28,0.6524
2020-03-31,0.6175
2020-04-30,0.6566
2020-05-29,0.6659
2020-06-30,0.6863
2020-07-31,0.7213
2020-08-31,0.7354
2020-09-30,0.7108
2020-10-30,0.7044
2020-11-30,0.7393
2020-12-31,0.7702
2021-01-29,0.7645
2021-02-26,0.7829
2021-03-31,0.7602
2021-04-30,0.7776
2021-05-31,0.7725
2021-06-30,0.7518
2021-07-30,0.7381
2021-08-31,0.7335
2021-09-30,0.7206
2021-10-29,0.7546
2021-11-30,0.7144
2021-12-31,0.7256
2022-01-31,0.7011
2022-02-28,0.7182
2022-03-31,0.7482
2022-04-29,0.7148
2022-05-31,0.7187
2022-06-30,0.6889
2022-07-29,0.7007
2022-08-31,0.6902
2022-09-30,0.6502
2022-10-31,0.642
2022-11-30,0.6698
2022-12-30,0.6775
2023-01-31,0.7037
2023-02-28,0.673
2023-03-31,0.6712
2023-04-28,0.661
2023-05-31,0.6495
2023-06-30,0.663
2023-07-31,0.6682
2023-08-31,0.6485
2023-09-29,0.6458
2023-10-31,0.6346
2023-11-30,0.6648
2023-12-29,0.684
2024-01-31,0.6574
2024-02-29,0.6519
2024-03-28,0.6532
2024-04-30,0.6525
2024-05-31,0.6637
2024-06-28,0.6624
2024-07-31,0.6491
2024-08-30,0.6806
2024-09-30,0.6932
2024-10-31,0.6569
2024-11-29,0.6517
2024-12-31,0.6217
2025-01-31,0.6225
2025-02-28,0.6214
2025-03-31,0.628
2025-04-30,0.6416
2025-05-30,0.6436
2025-06-30,0.655
2025-07-31,0.6469
2025-08-29,0.6538
2025-09-30,0.6602
2025-10-31,0.6551
2025-11-28,0.6533
2025-12-31,0.6693
