Title,Description,Frequency,Type,Units,Source,Publication date,Series ID,Table,Table Description
A$1=USD,AUD/USD Exchange Rate; see notes for further detail.,Monthly,Indicative,USD,WM/Reuters,2026-07-31 00:00:00,FXRUSD,Z:F11.1-Monthly,F11 EXCHANGE RATES 
Trade-weighted Index May 1970 = 100,Australian Dollar Trade-weighted Index,Monthly,Indicative,Index,RBA,2026-07-31 00:00:00,FXRTWI,Z:F11.1-Monthly,F11 EXCHANGE RATES 
A$1=CNY,AUD/CNY Exchange Rate,Monthly,Indicative,CNY,RBA,2026-07-31 00:00:00,FXRCR,Z:F11.1-Monthly,F11 EXCHANGE RATES 
A$1=JPY,AUD/JPY Exchange Rate,Monthly,Indicative,JPY,RBA,2026-07-31 00:00:00,FXRJY,Z:F11.1-Monthly,F11 EXCHANGE RATES 
A$1=EUR,AUD/EUR Exchange Rate,Monthly,Indicative,EUR,RBA,2026-07-31 00:00:00,FXREUR,Z:F11.1-Monthly,F11 EXCHANGE RATES 
A$1=KRW,AUD/KRW Exchange Rate,Monthly,Indicative,KRW,RBA,2026-07-31 00:00:00,FXRSKW,Z:F11.1-Monthly,F11 EXCHANGE RATES 
A$1=GBP,AUD/GBP Exchange Rate,Monthly,Indicative,GBP,RBA,2026-07-31 00:00:00,FXRUKPS,Z:F11.1-Monthly,F11 EXCHANGE RATES 
A$1=SGD,AUD/SGD Exchange Rate,Monthly,Indicative,SGD,RBA,2026-07-31 00:00:00,FXRSD,Z:F11.1-Monthly,F11 EXCHANGE RATES 
A$1=INR,AUD/INR Exchange Rate,Monthly,Indicative,INR,RBA,2026-07-31 00:00:00,FXRIRE,Z:F11.1-Monthly,F11 EXCHANGE RATES 
A$1=THB,AUD/THB Exchange Rate,Monthly,Indicative,THB,RBA,2026-07-31 00:00:00,FXRTB,Z:F11.1-Monthly,F11 EXCHANGE RATES 
A$1=NZD,AUD/NZD Exchange Rate,Monthly,Indicative,NZD,RBA,2026-07-31 00:00:00,FXRNZD,Z:F11.1-Monthly,F11 EXCHANGE RATES 
A$1=TWD,AUD/TWD Exchange Rate,Monthly,Indicative,TWD,RBA,2026-07-31 00:00:00,FXRNTD,Z:F11.1-Monthly,F11 EXCHANGE RATES 
A$1=MYR,AUD/MYR Exchange Rate,Monthly,Indicative,MYR,RBA,2026-07-31 00:00:00,FXRMR,Z:F11.1-Monthly,F11 EXCHANGE RATES 
A$1=IDR,AUD/IDR Exchange Rate,Monthly,Indicative,IDR,RBA,2026-07-31 00:00:00,FXRIR,Z:F11.1-Monthly,F11 EXCHANGE RATES 
A$1=VND,AUD/VND Exchange Rate,Monthly,Indicative,VND,RBA,2026-07-31 00:00:00,FXRVD,Z:F11.1-Monthly,F11 EXCHANGE RATES 
A$1=AED,AUD/AED Exchange Rate,Monthly,Indicative,AED,RBA,2026-07-31 00:00:00,FXRUAED,Z:F11.1-Monthly,F11 EXCHANGE RATES 
A$1=PGK,AUD/PGK Exchange Rate,Monthly,Indicative,PGK,RBA,2026-07-31 00:00:00,FXRPNGK,Z:F11.1-Monthly,F11 EXCHANGE RATES 
A$1=HKD,AUD/HKD Exchange Rate,Monthly,Indicative,HKD,RBA,2026-07-31 00:00:00,FXRHKD,Z:F11.1-Monthly,F11 EXCHANGE RATES 
A$1=CAD,AUD/CAD Exchange Rate,Monthly,Indicative,CAD,RBA,2026-07-31 00:00:00,FXRCD,Z:F11.1-Monthly,F11 EXCHANGE RATES 
A$1=ZAR,AUD/ZAR Exchange Rate,Monthly,Indicative,ZAR,RBA,2014-11-28 00:00:00,FXRSARD,Z:F11.1-Monthly,F11 EXCHANGE RATES 
A$1=SAR,AUD/SAR Exchange Rate,Monthly,Indicative,SAR,RBA,2014-04-30 00:00:00,FXRSARY,Z:F11.1-Monthly,F11 EXCHANGE RATES 
A$1=CHF,AUD/CHF Exchange Rate,Monthly,Indicative,CHF,RBA,2026-07-31 00:00:00,FXRSF,Z:F11.1-Monthly,F11 EXCHANGE RATES 
A$1=SEK,AUD/SEK Exchange Rate,Monthly,Indicative,SEK,RBA,2014-04-30 00:00:00,FXRSK,Z:F11.1-Monthly,F11 EXCHANGE RATES 
A$1=PHP,AUD/PHP Exchange Rate,Monthly,Indicative,PHP,RBA,2026-07-31 00:00:00,FXRPHP,Z:F11.1-Monthly,F11 EXCHANGE RATES 
A$1=SDR,AUD/SDR Exchange Rate,Monthly,Indicative,SDR,IMF,2026-07-31 00:00:00,FXRSDR,Z:F11.1-Monthly,F11 EXCHANGE RATES 
