Title,Description,Frequency,Type,Units,Source,Publication date,Series ID,Table,Table Description
Commodity prices – A$,Index of commodity prices; All items; A$,Monthly,Original,"Index, 2024/25=100",RBA,2026-08-04 00:00:00,GRCPAIAD,I2,I2 COMMODITY PRICES 
Commodity prices – SDR,Index of commodity prices; All items; SDR,Monthly,Original,"Index, 2024/25=100",RBA,2026-08-04 00:00:00,GRCPAISDR,I2,I2 COMMODITY PRICES 
Commodity prices – US$,Index of commodity prices; All items; US$,Monthly,Original,"Index, 2024/25=100",RBA,2026-08-04 00:00:00,GRCPAIUSD,I2,I2 COMMODITY PRICES 
Rural commodity prices – A$,Index of commodity prices; Rural component; A$,Monthly,Original,"Index, 2024/25=100",RBA,2026-08-04 00:00:00,GRCPRCAD,I2,I2 COMMODITY PRICES 
Rural commodity prices – SDR,Index of commodity prices; Rural component; SDR,Monthly,Original,"Index, 2024/25=100",RBA,2026-08-04 00:00:00,GRCPRCSDR,I2,I2 COMMODITY PRICES 
Rural commodity prices – US$,Index of commodity prices; Rural component; US$,Monthly,Original,"Index, 2024/25=100",RBA,2026-08-04 00:00:00,GRCPRCUSD,I2,I2 COMMODITY PRICES 
Non-rural commodity prices – A$,Index of commodity prices; Non-rural component; A$,Monthly,Original,"Index, 2024/25=100",RBA,2026-08-04 00:00:00,GRCPNRAD,I2,I2 COMMODITY PRICES 
Non-rural commodity prices – SDR,Index of commodity prices; Non-rural component; SDR,Monthly,Original,"Index, 2024/25=100",RBA,2026-08-04 00:00:00,GRCPNRSDR,I2,I2 COMMODITY PRICES 
Non-rural commodity prices – US$,Index of commodity prices; Non-rural component; US$,Monthly,Original,"Index, 2024/25=100",RBA,2026-08-04 00:00:00,GRCPNRUSD,I2,I2 COMMODITY PRICES 
Base metals prices – A$,Index of commodity prices; Non-rural component – Base metals; A$,Monthly,Original,"Index, 2024/25=100",RBA,2026-08-04 00:00:00,GRCPBMAD,I2,I2 COMMODITY PRICES 
Base metals prices – SDR,Index of commodity prices; Non-rural component – Base metals; SDR,Monthly,Original,"Index, 2024/25=100",RBA,2026-08-04 00:00:00,GRCPBMSDR,I2,I2 COMMODITY PRICES 
Base metals prices – US$,Index of commodity prices; Non-rural component – Base metals; US$,Monthly,Original,"Index, 2024/25=100",RBA,2026-08-04 00:00:00,GRCPBMUSD,I2,I2 COMMODITY PRICES 
Bulk commodities prices – A$,Index of commodity prices; Non-rural component – Bulk commodities (based on export price movements); A$,Monthly,Original,"Index, 2024/25=100",RBA,2026-08-04 00:00:00,GRCPBCAD,I2,I2 COMMODITY PRICES 
Bulk commodities prices – SDR,Index of commodity prices; Non-rural component – Bulk commodities (based on export price movements); SDR,Monthly,Original,"Index, 2024/25=100",RBA,2026-08-04 00:00:00,GRCPBCSDR,I2,I2 COMMODITY PRICES 
Bulk commodities prices – US$,Index of commodity prices; Non-rural component – Bulk commodities (based on export price movements); US$,Monthly,Original,"Index, 2024/25=100",RBA,2026-08-04 00:00:00,GRCPBCUSD,I2,I2 COMMODITY PRICES 
Commodity prices (with bulk commodities spot prices) – A$,Index of commodity prices; All items (with bulk commodities spot prices); A$,Monthly,Original,"Index, 2024/25=100",RBA,2026-08-04 00:00:00,GRCPAISAD,I2,I2 COMMODITY PRICES 
Commodity prices (with bulk commodities spot prices) – SDR,Index of commodity prices; All items (with bulk commodities spot prices); SDR,Monthly,Original,"Index, 2024/25=100",RBA,2026-08-04 00:00:00,GRCPAISSDR,I2,I2 COMMODITY PRICES 
Commodity prices (with bulk commodities spot prices) – US$,Index of commodity prices; All items (with bulk commodities spot prices); US$,Monthly,Original,"Index, 2024/25=100",RBA,2026-08-04 00:00:00,GRCPAISUSD,I2,I2 COMMODITY PRICES 
Bulk commodities spot prices – A$,Index of commodity prices; Non-rural component – Bulk commodities (based on spot price movements); A$,Monthly,Original,"Index, 2024/25=100",RBA,2026-08-04 00:00:00,GRCPBCSAD,I2,I2 COMMODITY PRICES 
Bulk commodities spot prices – SDR,Index of commodity prices; Non-rural component – Bulk commodities (based on spot price movements); SDR,Monthly,Original,"Index, 2024/25=100",RBA,2026-08-04 00:00:00,GRCPBCSSDR,I2,I2 COMMODITY PRICES 
Bulk commodities spot prices – US$,Index of commodity prices; Non-rural component – Bulk commodities (based on spot price movements); US$,Monthly,Original,"Index, 2024/25=100",RBA,2026-08-04 00:00:00,GRCPBCSUSD,I2,I2 COMMODITY PRICES 
