date,GCONEXP,GBUSEXP,GUNIEXPY,GUNIEXPYY,GMAREXPY,GMAREXPYY,GBONYLD
1995-01-01,,4.02,,,,,
1995-04-01,,4.39,,,3.8,,
1995-07-01,,3.28,,,3.6,3.2,
1995-10-01,,2.58,,,,3.1,
1996-01-01,,2.26,,,,,
1996-04-01,,2.18,,,3,,
1996-07-01,,1.81,3.5,,2.5,3.2,
1996-10-01,,1.57,3,,,3,
1997-01-01,,1.93,2,2.5,,,
1997-04-01,,1.77,2.5,2.75,2.7,,
1997-07-01,,1.49,2,2.6,1.8,3.6,
1997-10-01,,1.69,2.5,2.7,,3.2,
1998-01-01,,2.06,1.6,2,,,
1998-04-01,,1.53,2,2,2.7,,
1998-07-01,,1.49,2,3,2.6,2.5,
1998-10-01,,1.04,2.275,2.4,,2.5,
1999-01-01,,1,2,2.5,,,
1999-04-01,,1.08,2,2.5,2.1,,
1999-07-01,,1.21,1.95,2.5,2.2,4.2,
1999-10-01,,1.37,2.8,3.3,,4.9,
2000-01-01,,1.89,3.5,3.25,,,
2000-04-01,,3.47,4.75,4.5,5.3,,
2000-07-01,,2.06,5.3,4.2,5.5,2.3,
2000-10-01,,2.64,5.5,4.5,,2.4,
2001-01-01,,1.53,4,3.5,,,
2001-04-01,,2.29,4.45,4.05,1.9,,
2001-07-01,,1.64,4,3.8,2.3,2.5,
2001-10-01,,1.32,3.3,3.1,,2.2,
2002-01-01,,1.58,3.3,3.5,,,
2002-04-01,,1.87,3.5,3.5,2.6,,
2002-07-01,,1.79,3,3.5,2.4,2.5,
2002-10-01,,1.53,3.5,3.4,2.5,2.5,
2003-01-01,,1.74,3.5,3.8,2.6,,
2003-04-01,,1.18,3.5,3.6,2.2,,
2003-07-01,,1.38,3,3,2.3,2.5,
2003-10-01,,1.2,3,3.2,2.3,2.5,
2004-01-01,,1.08,2.6,3,2,,
2004-04-01,,1.93,2.9,3,2.3,,
2004-07-01,,1.85,3,3,2.4,2.7,
2004-10-01,,1.48,3,3,2.5,2.5,
2005-01-01,,1.65,2.95,3,2.5,,
2005-04-01,,1.91,2.85,3,2.6,2.7,
2005-07-01,,1.59,2.8,3,2.7,2.5,
2005-10-01,,1.56,3.5,3.5,2.6,2.5,
2006-01-01,,1.74,3,3,2.8,2.6,
2006-04-01,,2.44,3.5,3.2,2.7,2.6,
2006-07-01,,1.78,4.16,4,2.7,2.5,
2006-10-01,,1.86,3.9,3.5,2.7,2.5,
2007-01-01,,1.65,3.5,3.5,2.5,2.5,
2007-04-01,,2.09,3,3,2.5,2.5,
2007-07-01,,1.86,3,3,2.7,2.7,
2007-10-01,,2.28,3,3,2.7,2.6,
2008-01-01,,2.36,3.5,3.4,3,2.7,
2008-04-01,,3.38,4,3.725,3,2.8,
2008-07-01,,2.45,4,3.625,3.3,2.8,
2008-10-01,,1.94,4.05,4,2.6,2.5,
2009-01-01,,0.42,3,3,2.5,2.4,
2009-04-01,,0.85,2.5,2.65,2.3,2.4,
2009-07-01,,0.92,2.5,3,2.3,2.5,
2009-10-01,,1.12,2.6,3,2.2,2.7,
2010-01-01,,1.19,2.95,3,2.3,2.9,
2010-04-01,,2.1,3,3,3,2.8,
2010-07-01,,1.16,3,3.2,3.2,2.8,
2010-10-01,,1.31,3,3,3.2,2.8,
2011-01-01,,1.34,3.2,3.2,3.3,3.1,
2011-04-01,,2.02,3.05,3.05,2.7,2.7,
2011-07-01,,1.04,3.2,3.2,2.6,3.4,
2011-10-01,,1.21,3.35,3.4,3.5,2.9,
2012-01-01,,0.98,3,3,3.2,2.7,
2012-04-01,,1.99,2.4,2.5,3.4,2.6,
2012-07-01,,0.78,2,2.45,3.4,2.7,
2012-10-01,,0.65,2.5,2.5,2.6,2.7,
2013-01-01,,0.72,2.5,2.5,2.6,2.7,
2013-04-01,,1.51,2.75,2.75,2.6,2.6,
2013-07-01,,1.13,2.5,2.5,2.6,2.6,
2013-10-01,,1.36,2.5,2.5,2.6,2.6,
